year,surviving_trees,pct_remaining,trees_lost
2002,8146748731,100.0,0
2003,8145749659,99.99,999072
2004,8142634857,99.95,4113874
2005,8134466732,99.85,12281999
2006,8123394444,99.71,23354287
2007,8110449673,99.55,36299058
2008,8095063447,99.37,51685284
2009,8077693364,99.15,69055367
2010,8055723459,98.88,91025272
2011,8027896629,98.54,118852102
2012,7993335497,98.12,153413234
2013,7950001756,97.58,196746975
2014,7887408691,96.82,259340040
2015,7809481504,95.86,337267228
2016,7712995046,94.68,433753685
2017,7599559317,93.28,547189414
2018,7464340363,91.62,682408368
2019,7278432148,89.34,868316583
2020,7059496551,86.65,1087252180
2021,6826195324,83.79,1320553407
2022,6591477141,80.91,1555271591
2023,6355909347,78.02,1790839384
2024,6120525052,75.13,2026223679
2025,5888037062,72.27,2258711669
2026,5663369510,69.52,2483379221
2027,5447003421,66.86,2699745310
2028,5238903485,64.31,2907845246
2029,5038753900,61.85,3107994831
2030,4846250925,59.49,3300497806
2031,4661102427,57.21,3485646304
2032,4483027430,55.03,3663721301
2033,4311755697,52.93,3834993034
2034,4147027311,50.9,3999721420
2035,3988592287,48.96,4158156444
2036,3836210191,47.09,4310538540
2037,3689649774,45.29,4457098957
2038,3548688622,43.56,4598060109
2039,3413112817,41.9,4733635914
2040,3282716615,40.29,4864032116
2041,3157302133,38.76,4989446599
2042,3036679045,37.27,5110069686
2043,2920664300,35.85,5226084431
2044,2809081838,34.48,5337666893
2045,2701762326,33.16,5444986405
2046,2598542900,31.9,5548205831
2047,2499266919,30.68,5647481812
2048,2403783725,29.51,5742965006
2049,2311948417,28.38,5834800314
2050,2223621629,27.29,5923127102
2051,2138669320,26.25,6008079411
2052,2056962570,25.25,6089786162
2053,1978377383,24.28,6168371348
2054,1902794503,23.36,6243954228
2055,1830099228,22.46,6316649503
2056,1760181238,21.61,6386567493
2057,1692934428,20.78,6453814303
2058,1628256748,19.99,6518491983
2059,1566050045,19.22,6580698686
2060,1506219917,18.49,6640528814
2061,1448675568,17.78,6698073163
2062,1393329670,17.1,6753419061
2063,1340098234,16.45,6806650497
2064,1288900477,15.82,6857848254
2065,1239658704,15.22,6907090027
2066,1192298188,14.64,6954450543
2067,1146747055,14.08,7000001676
2068,1102936180,13.54,7043812551
2069,1060799076,13.02,7085949655
2070,1020271798,12.52,7126476933
2071,981292845,12.05,7165455887
2072,943803061,11.59,7202945670
2073,907745556,11.14,7239003175
2074,873065608,10.72,7273683123
2075,839710591,10.31,7307038141
