province,county,year_detected
Ontario,,2002
Ontario,,2004
Ontario,,2005
Ontario,,2005
Ontario,,2006
Ontario,,2007
Ontario,,2007
Ontario,,2008
Ontario,,2008
Ontario,,2008
Ontario,,2008
Ontario,,2008
Ontario,,2008
Ontario,,2008
Ontario,,2009
Ontario,,2009
Ontario,,2010
Ontario,,2010
Ontario,,2010
Ontario,,2010
Ontario,,2010
Ontario,,2010
Ontario,,2011
Ontario,,2011
Quebec / Québec,,2011
Quebec / Québec,,2011
Ontario,,2012
Ontario,,2012
Quebec / Québec,,2012
Quebec / Québec,,2012
Quebec / Québec,,2012
Quebec / Québec,,2012
Ontario,,2013
Ontario,,2013
Ontario,,2013
Ontario,,2013
Ontario,,2013
Ontario,,2013
Ontario,,2013
Ontario,,2013
Ontario,,2013
Quebec / Québec,,2013
Quebec / Québec,,2013
Quebec / Québec,,2013
Quebec / Québec,,2013
Quebec / Québec,,2013
Quebec / Québec,,2013
Quebec / Québec,,2013
Quebec / Québec,,2013
Quebec / Québec,,2013
Quebec / Québec,,2013
Quebec / Québec,,2014
Manitoba,,2017
New Brunswick / Nouveau-Brunswick,,2018
Nova Scotia / Nouvelle-Écosse,,2018
New Brunswick / Nouveau-Brunswick,,2019
New Brunswick / Nouveau-Brunswick,,2019
Quebec / Québec,,2019
